fee_group_name,fee_type_name,amount
II YEAR B ARCH,Tuition Fee,50000
II YEAR B ARCH,Other Fee,52000
II YEAR B TECH AIDS_AIML_GOVT,Tuition Fee,50000
II YEAR B TECH AIDS_AIML_GOVT,Other Fee,27000
II YEAR B TECH AIDS_AIML_MGMT,Tuition Fee,50000
II YEAR B TECH AIDS_AIML_MGMT,Other Fee,52000
II YEAR B TECH IT_GOVT,Tuition Fee,50000
II YEAR B TECH IT_GOVT,Other Fee,22000
II YEAR B TECH IT_MGMT,Tuition Fee,50000
II YEAR B TECH IT_MGMT,Other Fee,42000
II YEAR BE CSE_GOVT,Tuition Fee,50000
II YEAR BE CSE_GOVT,Other Fee,27000
II YEAR BE CSE_MGMT,Tuition Fee,50000
II YEAR BE CSE_MGMT,Other Fee,77000
II YEAR BE ECE_GOVT,Tuition Fee,50000
II YEAR BE ECE_GOVT,Other Fee,17000
II YEAR BE ECE_MGMT,Tuition Fee,50000
II YEAR BE ECE_MGMT,Other Fee,27000
II YEAR BE CIVIL_EEE_EIE_MECH,Tuition Fee,50000
II YEAR BE CIVIL_EEE_EIE_MECH,Other Fee,7000
II YEAR M ARCH,Tuition Fee,50000
II YEAR M ARCH,Other Fee,54000
II YEAR MBA_GOVT,Tuition Fee,50000
II YEAR MBA_GOVT,Other Fee,14000
II YEAR MBA_MGMT,Tuition Fee,50000
II YEAR MBA_MGMT,Other Fee,34000
II YEAR MCA_GOVT,Tuition Fee,50000
II YEAR MCA_GOVT,Other Fee,4000
II YEAR MCA_MGMT,Tuition Fee,50000
II YEAR MCA_MGMT,Other Fee,14000
II YEAR ME,Tuition Fee,40000
II YEAR ME,Other Fee,4000
II YEAR LE_GOVT,Tuition Fee,50000
II YEAR LE_GOVT,Other Fee,5000
II YEAR LE_MGMT,Tuition Fee,50000
II YEAR LE_MGMT,Other Fee,10000
III YEAR B ARCH,Tuition Fee,50000
III YEAR B ARCH,Other Fee,52000
III YEAR B TECH AIDS_AIML_GOVT,Tuition Fee,50000
III YEAR B TECH AIDS_AIML_GOVT,Other Fee,27000
III YEAR B TECH AIDS_AIML_MGMT,Tuition Fee,50000
III YEAR B TECH AIDS_AIML_MGMT,Other Fee,32000
III YEAR B TECH IT_GOVT,Tuition Fee,50000
III YEAR B TECH IT_GOVT,Other Fee,22000
III YEAR B TECH IT_MGMT,Tuition Fee,50000
III YEAR B TECH IT_MGMT,Other Fee,32000
III YEAR BE CSE_GOVT,Tuition Fee,50000
III YEAR BE CSE_GOVT,Other Fee,27000
III YEAR BE CSE_MGMT,Tuition Fee,50000
III YEAR BE CSE_MGMT,Other Fee,52000
III YEAR BE ECE_GOVT,Tuition Fee,50000
III YEAR BE ECE_GOVT,Other Fee,17000
III YEAR BE ECE_MGMT,Tuition Fee,50000
III YEAR BE ECE_MGMT,Other Fee,27000
III YEAR BE CIVIL_EEE_EIE_MECH,Tuition Fee,50000
III YEAR BE CIVIL_EEE_EIE_MECH,Other Fee,7000
III YEAR LE_GOVT,Tuition Fee,50000
III YEAR LE_GOVT,Other Fee,7000
III YEAR LE_MGMT,Tuition Fee,50000
III YEAR LE_MGMT,Other Fee,12000
IV YEAR B ARCH,Tuition Fee,50000
IV YEAR B ARCH,Other Fee,52000
IV YEAR B TECH IT,Tuition Fee,50000
IV YEAR B TECH IT,Other Fee,23000
IV YEAR BE CSE,Tuition Fee,50000
IV YEAR BE CSE,Other Fee,28000
IV YEAR BE ECE,Tuition Fee,50000
IV YEAR BE ECE,Other Fee,18000
IV YEAR BE CIVIL_EEE_EIE_MECH,Tuition Fee,50000
IV YEAR BE CIVIL_EEE_EIE_MECH,Other Fee,8000
IV YEAR LE,Tuition Fee,50000
IV YEAR LE,Other Fee,13000
V YEAR B ARCH,Tuition Fee,50000
V YEAR B ARCH,Other Fee,53000
